Unnamed: 0	# samples with 3D cluster mutations	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Data available under ODC Open Database License (ODbL)
PLEKHH2	10	0	0	10	0.0009000000000000001	
CR1	10	0	0	10	0.0009000000000000001	
PDE11A	10	0	0	10	0.0009000000000000001	
SMAD3	10	0	0	10	0.0009000000000000001	
PPP3CA	10	0	0	10	0.0009000000000000001	
RBP2	10	0	0	10	0.0009000000000000001	
C10ORF71	10	0	0	10	0.0009000000000000001	
ADCY5	10	0	0	10	0.0009000000000000001	
CTCFL	10	0	0	10	0.0009000000000000001	
PGR	10	0	0	10	0.0009000000000000001	
POLM	10	0	0	10	0.0009000000000000001	
IL21R	10	0	0	10	0.0009000000000000001	
HIST1H2BH	10	0	0	10	0.0009000000000000001	
NSD1	10	0	0	10	0.0009000000000000001	
SETBP1	10	0	0	10	0.0009000000000000001	
KCNA3	10	0	0	10	0.0009000000000000001	
TF	10	0	0	10	0.0009000000000000001	
CDKN2C	9	0	0	9	0.0008	
OXSM	9	0	0	9	0.0008	
PTK2B	9	0	0	9	0.0008	
ATP1A3	9	0	0	9	0.0008	
GRB2	9	0	0	9	0.0008	
TBL1XR1	9	0	0	9	0.0008	
PYGM	9	0	0	9	0.0008	
F7	9	0	0	9	0.0008	
PROCR	9	0	0	9	0.0008	
MGAT1	9	0	0	9	0.0008	
NEBL	9	0	0	9	0.0008	
CYP2A6	9	0	0	9	0.0008	
GPT2	9	0	0	9	0.0008	
UNC79	9	0	0	9	0.0008	
CAMK1	9	0	0	9	0.0008	
APLP1	9	0	0	9	0.0008	
ZNF548	9	0	0	9	0.0008	
EPHA1	9	0	0	9	0.0008	
SORL1	9	0	0	9	0.0008	
COL22A1	9	0	0	9	0.0008	
PRLR	9	0	0	9	0.0008	
NGFR	9	0	0	9	0.0008	
SLC25A5	9	0	0	9	0.0008	
GRIA2	9	0	0	9	0.0008	
CDK8	9	0	0	9	0.0008	
ADSSL1	9	0	0	9	0.0008	
MRPL3	9	0	0	9	0.0008	
ITGB2	9	0	0	9	0.0008	
DPP4	9	0	0	9	0.0008	
IL6ST	9	0	0	9	0.0008	
DDC	9	0	0	9	0.0008	
SOCS5	9	0	0	9	0.0008	
KIT	9	0	0	9	0.0008	
EIF4A2	9	0	0	9	0.0008	
ENPP6	9	0	0	9	0.0008	
ACOT4	9	0	0	9	0.0008	
ACE	9	0	0	9	0.0008	
STIM1	8	0	0	8	0.0007	
KDM4B	8	0	0	8	0.0007	
FGF9	8	0	0	8	0.0007	
CAND1	8	0	0	8	0.0007	
CUL5	8	0	0	8	0.0007	
IL13RA2	8	0	0	8	0.0007	
HDAC8	8	0	0	8	0.0007	
KDM5C	8	0	0	8	0.0007	
HIST2H3D	8	0	0	8	0.0007	
ETV6	8	0	0	8	0.0007	
DCC	8	0	0	8	0.0007	
CACNA1B	8	0	0	8	0.0007	
PLEK	8	0	0	8	0.0007	
THRA	8	0	0	8	0.0007	
SYT14	8	0	0	8	0.0007	
GABPA	8	0	0	8	0.0007	
CALM1	8	0	0	8	0.0007	
ASMT	8	0	0	8	0.0007	
SMG7	8	0	0	8	0.0007	
ZNF320	8	0	0	8	0.0007	
CFL1	8	0	0	8	0.0007	
ITFG1	8	0	0	8	0.0007	
FLT1	8	0	0	8	0.0007	
FMNL3	8	0	0	8	0.0007	
PRPF31	8	0	0	8	0.0007	
NUF2	8	0	0	8	0.0007	
SSBP1	8	0	0	8	0.0007	
GNAI3	8	0	0	8	0.0007	
RBP4	8	0	0	8	0.0007	
GPAM	8	0	0	8	0.0007	
EGR3	8	0	0	8	0.0007	
HIST1H2BB	8	0	0	8	0.0007	
ABCB6	8	0	0	8	0.0007	
CENPE	8	0	0	8	0.0007	
HIST1H3H	8	0	0	8	0.0007	
IFNLR1	8	0	0	8	0.0007	
IFIT1	8	0	0	8	0.0007	
HLA-DQA1	8	0	0	8	0.0007	
POLI	8	0	0	8	0.0007	
HDAC3	8	0	0	8	0.0007	
ACTA2	8	0	0	8	0.0007	
KRT5	8	0	0	8	0.0007	
DLG4	8	0	0	8	0.0007	
SMARCC2	8	0	0	8	0.0007	
ATP7A	8	0	0	8	0.0007	
MKI67	8	0	0	8	0.0007	
S100A3	0	5	3	8	0.0007	
RABGAP1L	8	0	0	8	0.0007	
RBMS3	8	0	0	8	0.0007	
TICAM1	7	0	0	7	0.0006000000000000001	
CACNA1E	7	0	0	7	0.0006000000000000001	
SIRT3	7	0	0	7	0.0006000000000000001	
HIST1H2BL	7	0	0	7	0.0006000000000000001	
MZF1	7	0	0	7	0.0006000000000000001	
MCF2	7	0	0	7	0.0006000000000000001	
CABP1	7	0	0	7	0.0006000000000000001	
CRY1	7	0	0	7	0.0006000000000000001	
CASP1	7	0	0	7	0.0006000000000000001	
TTC14	7	0	0	7	0.0006000000000000001	
C2ORF16	7	0	0	7	0.0006000000000000001	
BACH2	7	0	0	7	0.0006000000000000001	
SYT7	7	0	0	7	0.0006000000000000001	
CEP164	7	0	0	7	0.0006000000000000001	
CUL1	7	0	0	7	0.0006000000000000001	
POTEF	7	0	0	7	0.0006000000000000001	
DLX5	7	0	0	7	0.0006000000000000001	
RHCG	7	0	0	7	0.0006000000000000001	
LCMT1	7	0	0	7	0.0006000000000000001	
SMC1A	7	0	0	7	0.0006000000000000001	
ALOX15B	7	0	0	7	0.0006000000000000001	
RGS6	7	0	0	7	0.0006000000000000001	
GAS2L3	7	0	0	7	0.0006000000000000001	
VIM	7	0	0	7	0.0006000000000000001	
CTPS1	7	0	0	7	0.0006000000000000001	
RNF111	7	0	0	7	0.0006000000000000001	
UQCRFS1	7	0	0	7	0.0006000000000000001	
USH1C	7	0	0	7	0.0006000000000000001	
NCS1	7	0	0	7	0.0006000000000000001	
MASP2	7	0	0	7	0.0006000000000000001	
DDX39B	7	0	0	7	0.0006000000000000001	
EHMT1	7	0	0	7	0.0006000000000000001	
RNF41	7	0	0	7	0.0006000000000000001	
ZNF664	7	0	0	7	0.0006000000000000001	
NEIL1	7	0	0	7	0.0006000000000000001	
RPS6KA3	7	0	0	7	0.0006000000000000001	
NCKAP1L	7	0	0	7	0.0006000000000000001	
SOS1	7	0	0	7	0.0006000000000000001	
INPP4A	7	0	0	7	0.0006000000000000001	
RGAG4	7	0	0	7	0.0006000000000000001	
HIST1H2AH	7	0	0	7	0.0006000000000000001	
ANXA6	7	0	0	7	0.0006000000000000001	
CASP7	7	0	0	7	0.0006000000000000001	
RAB30	7	0	0	7	0.0006000000000000001	
TNFSF18	7	0	0	7	0.0006000000000000001	
ZNF572	7	0	0	7	0.0006000000000000001	
PARD3	7	0	0	7	0.0006000000000000001	
MASP1	7	0	0	7	0.0006000000000000001	
ACLY	7	0	0	7	0.0006000000000000001	
GCSH	7	0	0	7	0.0006000000000000001	
ZNF777	7	0	0	7	0.0006000000000000001	
CLTCL1	7	0	0	7	0.0006000000000000001	
SYK	7	0	0	7	0.0006000000000000001	
PRKCB	7	0	0	7	0.0006000000000000001	
LHX6	7	0	0	7	0.0006000000000000001	
PLK2	7	0	0	7	0.0006000000000000001	
AHSA1	7	0	0	7	0.0006000000000000001	
MMEL1	7	0	0	7	0.0006000000000000001	
CPB2	7	0	0	7	0.0006000000000000001	
NEDD8	7	0	0	7	0.0006000000000000001	
GUCA1A	7	0	0	7	0.0006000000000000001	
FKBP5	7	0	0	7	0.0006000000000000001	
TEAD2	7	0	0	7	0.0006000000000000001	
PECR	7	0	0	7	0.0006000000000000001	
DCLRE1B	7	0	0	7	0.0006000000000000001	
NDST3	7	0	0	7	0.0006000000000000001	
SELE	7	0	0	7	0.0006000000000000001	
PCDH15	7	0	0	7	0.0006000000000000001	
MDFIC	7	0	0	7	0.0006000000000000001	
CTSD	7	0	0	7	0.0006000000000000001	
CTLA4	7	0	0	7	0.0006000000000000001	
ANKRD30B	7	0	0	7	0.0006000000000000001	
RNF7	7	0	0	7	0.0006000000000000001	
RANBP6	7	0	0	7	0.0006000000000000001	
PIWIL2	7	0	0	7	0.0006000000000000001	
ARNTL	7	0	0	7	0.0006000000000000001	
AMY2A	7	0	0	7	0.0006000000000000001	
CENPA	7	0	0	7	0.0006000000000000001	
HIST1H3G	7	0	0	7	0.0006000000000000001	
UGP2	7	0	0	7	0.0006000000000000001	
HIST1H3B	7	0	0	7	0.0006000000000000001	
HIST1H4K	6	0	0	6	0.0005	
CSF1	6	0	0	6	0.0005	
PAXIP1	6	0	0	6	0.0005	
ACP1	6	0	0	6	0.0005	
PTBP2	6	0	0	6	0.0005	
TXNL4A	6	0	0	6	0.0005	
PUM1	6	0	0	6	0.0005	
HIC2	6	0	0	6	0.0005	
TUBB2B	6	0	0	6	0.0005	
PTPN1	6	0	0	6	0.0005	
NMT1	6	0	0	6	0.0005	
ACAT1	6	0	0	6	0.0005	
SNRNP200	6	0	0	6	0.0005	
DOT1L	6	0	0	6	0.0005	
ATXN1	6	0	0	6	0.0005	
TSG101	6	0	0	6	0.0005	
MAGIX	6	0	0	6	0.0005	
RBM46	6	0	0	6	0.0005	
GATA1	6	0	0	6	0.0005	
DNM2	6	0	0	6	0.0005	
STARD5	6	0	0	6	0.0005	
RAB33B	6	0	0	6	0.0005	
RECQL	6	0	0	6	0.0005	
TH	6	0	0	6	0.0005	
PPIP5K2	6	0	0	6	0.0005	
MOB1B	6	0	0	6	0.0005	
TRAP1	6	0	0	6	0.0005	
CLASP1	6	0	0	6	0.0005	
TAF4B	6	0	0	6	0.0005	
ISPD	6	0	0	6	0.0005	
CAMK2D	6	0	0	6	0.0005	
S100A2	6	0	0	6	0.0005	
EPHB2	6	0	0	6	0.0005	
DUSP9	6	0	0	6	0.0005	
GRM1	6	0	0	6	0.0005	
CIAO1	6	0	0	6	0.0005	
THADA	6	0	0	6	0.0005	
RGPD3	6	0	0	6	0.0005	
TP53I3	6	0	0	6	0.0005	
GOLGA2	6	0	0	6	0.0005	
SRM	6	0	0	6	0.0005	
ADAM19	6	0	0	6	0.0005	
HDAC6	6	0	0	6	0.0005	
VCL	6	0	0	6	0.0005	
ZNF484	6	0	0	6	0.0005	
TOPBP1	6	0	0	6	0.0005	
TCF21	6	0	0	6	0.0005	
RPS6KB1	6	0	0	6	0.0005	
ADGRB2	6	0	0	6	0.0005	
COL3A1	6	0	0	6	0.0005	
OXSR1	6	0	0	6	0.0005	
ETS2	6	0	0	6	0.0005	
CDK2	6	0	0	6	0.0005	
AMT	6	0	0	6	0.0005	
PRUNE2	6	0	0	6	0.0005	
LCAT	6	0	0	6	0.0005	
AXIN1	6	0	0	6	0.0005	
CST6	6	0	0	6	0.0005	
DOCK8	6	0	0	6	0.0005	
LGALS1	6	0	0	6	0.0005	
FGF1	6	0	0	6	0.0005	
CASP6	6	0	0	6	0.0005	
TRAF2	6	0	0	6	0.0005	
TBK1	6	0	0	6	0.0005	
CDK9	6	0	0	6	0.0005	
SPON2	6	0	0	6	0.0005	
CDK6	6	0	0	6	0.0005	
MECOM	6	0	0	6	0.0005	
HIST1H2BE	6	0	0	6	0.0005	
AKR7L	6	0	0	6	0.0005	
LDB2	6	0	0	6	0.0005	
FKBP14	6	0	0	6	0.0005	
THRB	6	0	0	6	0.0005	
GSG2	6	0	0	6	0.0005	
BAX	6	0	0	6	0.0005	
USP5	6	0	0	6	0.0005	
ERBB2IP	6	0	0	6	0.0005	
TUBB4A	6	0	0	6	0.0005	
ATP4A	6	0	0	6	0.0005	
HIST1H4E	6	0	0	6	0.0005	
SNAP29	5	0	0	5	0.0004	
C2	5	0	0	5	0.0004	
AMY1C	5	0	0	5	0.0004	
HSD17B10	5	0	0	5	0.0004	
H2AFJ	5	0	0	5	0.0004	
HBA2	5	0	0	5	0.0004	
TDRD7	5	0	0	5	0.0004	
COPE	5	0	0	5	0.0004	
ECT2L	5	0	0	5	0.0004	
LRRC55	5	0	0	5	0.0004	
SLC12A2	5	0	0	5	0.0004	
SDC3	5	0	0	5	0.0004	
LILRB2	5	0	0	5	0.0004	
SNRPN	5	0	0	5	0.0004	
S100A14	5	0	0	5	0.0004	
SLC25A11	5	0	0	5	0.0004	
GUCY1B3	5	0	0	5	0.0004	
ECHDC3	5	0	0	5	0.0004	
PLG	5	0	0	5	0.0004	
MAP2K5	5	0	0	5	0.0004	
HDAC1	5	0	0	5	0.0004	
ARHGAP32	5	0	0	5	0.0004	
SNX17	5	0	0	5	0.0004	
POLH	5	0	0	5	0.0004	
DDX19A	5	0	0	5	0.0004	
PTP4A1	5	0	0	5	0.0004	
UBE2E2	5	0	0	5	0.0004	
FDX1	5	0	0	5	0.0004	
APCS	5	0	0	5	0.0004	
CSF3	5	0	0	5	0.0004	
SLC25A4	5	0	0	5	0.0004	
CSNK1G1	5	0	0	5	0.0004	
FBXO44	5	0	0	5	0.0004	
LGALS9	5	0	0	5	0.0004	
RALYL	5	0	0	5	0.0004	
IRF3	5	0	0	5	0.0004	
FLNB	5	0	0	5	0.0004	
SOX9	5	0	0	5	0.0004	
RPRD1B	5	0	0	5	0.0004	
IGFBP3	5	0	0	5	0.0004	
KIAA0586	5	0	0	5	0.0004	
FGG	5	0	0	5	0.0004	
SUPT5H	5	0	0	5	0.0004	
BTNL3	5	0	0	5	0.0004	
SH3GLB2	5	0	0	5	0.0004	
CAPNS1	5	0	0	5	0.0004	
HES1	5	0	0	5	0.0004	
TUBB2A	5	0	0	5	0.0004	
ANOS1	5	0	0	5	0.0004	
PLEKHH1	5	0	0	5	0.0004	
ING2	5	0	0	5	0.0004	
PACSIN3	5	0	0	5	0.0004	
KIFC1	5	0	0	5	0.0004	
BCOR	5	0	0	5	0.0004	
HNRNPH2	5	0	0	5	0.0004	
GLRX2	5	0	0	5	0.0004	
POR	5	0	0	5	0.0004	
APOC1	5	0	0	5	0.0004	
PSMB3	5	0	0	5	0.0004	
EPS15L1	5	0	0	5	0.0004	
PACSIN1	5	0	0	5	0.0004	
KIF1A	5	0	0	5	0.0004	
LDB1	5	0	0	5	0.0004	
CCT3	5	0	0	5	0.0004	
SHROOM4	4	0	0	4	0.0004	
HIST1H2AE	4	0	0	4	0.0004	
SRP9	4	0	0	4	0.0004	
ITPR2	4	0	0	4	0.0004	
CNTN2	4	0	0	4	0.0004	
F11R	4	0	0	4	0.0004	
SUMO3	4	0	0	4	0.0004	
PCBD2	4	0	0	4	0.0004	
EEF1G	4	0	0	4	0.0004	
ZEB2	4	0	0	4	0.0004	
EIF2AK2	4	0	0	4	0.0004	
AMY1A	4	0	0	4	0.0004	
TRIM24	4	0	0	4	0.0004	
PPFIA3	4	0	0	4	0.0004	
CR1L	4	0	0	4	0.0004	
HIST1H3E	4	0	0	4	0.0004	
DOCK6	4	0	0	4	0.0004	
NME3	4	0	0	4	0.0004	
E2F5	4	0	0	4	0.0004	
RBP7	4	0	0	4	0.0004	
CRABP2	4	0	0	4	0.0004	
DUSP8	4	0	0	4	0.0004	
PPARG	4	0	0	4	0.0004	
AP5B1	4	0	0	4	0.0004	
MATN3	4	0	0	4	0.0004	
SMURF2	4	0	0	4	0.0004	
MRPL11	4	0	0	4	0.0004	
SDR39U1	4	0	0	4	0.0004	
SH3GL1	4	0	0	4	0.0004	
ZSCAN16	4	0	0	4	0.0004	
ZNF658	4	0	0	4	0.0004	
SPEG	4	0	0	4	0.0004	
SLFNL1	4	0	0	4	0.0004	
MYOM1	4	0	0	4	0.0004	
MLST8	4	0	0	4	0.0004	
MYO10	4	0	0	4	0.0004	
RELA	4	0	0	4	0.0004	
CFHR3	4	0	0	4	0.0004	
HIST1H4J	3	0	0	3	0.00030000000000000003	
PLXNB1	3	0	0	3	0.00030000000000000003	
UVSSA	3	0	0	3	0.00030000000000000003	
TIGD1	3	0	0	3	0.00030000000000000003	
TCEB2	3	0	0	3	0.00030000000000000003	
PRELID1	3	0	0	3	0.00030000000000000003	
PSAP	3	0	0	3	0.00030000000000000003	
HIST4H4	3	0	0	3	0.00030000000000000003	
PDXP	3	0	0	3	0.00030000000000000003	
CAPN1	3	0	0	3	0.00030000000000000003	
AIFM3	3	0	0	3	0.00030000000000000003	
SALL3	3	0	0	3	0.00030000000000000003	
LDLRAP1	3	0	0	3	0.00030000000000000003	
WRN	3	0	0	3	0.00030000000000000003	
CD81	3	0	0	3	0.00030000000000000003	
SNRPD3	3	0	0	3	0.00030000000000000003	
